City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Richards Bay,ZA,-28.783,32.0377,59.47,78,100,1.59,overcast clouds
294,Marau,BR,-28.4492,-52.2,64.99,70,62,4.5,moderate rain
295,Cantagallo,CO,7.376,-73.9196,76.78,94,100,2.53,overcast clouds
296,Meulaboh,ID,4.1363,96.1285,74.39,93,100,3.71,overcast clouds
297,Usak,TR,38.5,29.4167,84.13,21,2,17.83,clear sky
298,Novyy Nekouz,RU,57.9029,38.07,68.4,67,100,5.99,overcast clouds
299,Arman,RU,59.7,150.1667,55.72,92,100,2.91,overcast clouds
300,Mount Gambier,AU,-37.8333,140.7667,48.4,89,11,8.59,few clouds
301,Udachnyy,RU,66.4167,112.4,50.22,84,100,6.29,overcast clouds
302,Tiksi,RU,71.6872,128.8694,39.99,85,86,5.79,overcast clouds
303,Murud,IN,18.3258,72.965,78.82,83,48,8.1,scattered clouds
304,Kutum,SD,14.2,24.6667,82.47,49,86,13.09,overcast clouds
305,Berezovyy,RU,51.6667,135.7,59.77,87,18,3.04,few clouds
306,Gilgit,PK,35.9221,74.3087,77.5,50,98,1.79,overcast clouds
307,Huron,US,41.1501,-82.5499,77.65,74,71,11.83,broken clouds
308,Hopelchen,MX,19.7667,-89.85,83.48,51,55,1.97,broken clouds
309,Half Moon Bay,US,37.4636,-122.4286,68.79,89,75,0.0,broken clouds
310,Faanui,PF,-16.4833,-151.75,77.92,75,7,5.66,clear sky
311,Maragogi,BR,-9.0122,-35.2225,77.85,76,68,9.26,broken clouds
312,Guiyang,CN,26.5833,106.7167,68.49,94,90,6.71,overcast clouds
313,Olinda,BR,-8.0089,-34.8553,78.53,65,40,17.27,scattered clouds
314,Santiago De Cuba,CU,20.0247,-75.8219,87.42,66,20,4.61,few clouds
315,Port Blair,IN,11.6667,92.75,80.64,83,75,3.44,mist
316,Silifke,TR,36.3778,33.9344,93.24,39,0,4.27,clear sky
317,Goiatuba,BR,-18.0125,-49.3547,85.55,21,3,7.74,clear sky
318,Terrace Bay,CA,48.7834,-87.1,64.02,52,48,10.13,scattered clouds
319,Huaidian,CN,33.4333,115.0333,70.72,92,3,5.23,light rain
320,Russell,US,32.3502,-85.1999,89.06,62,1,4.61,clear sky
321,Nivala,FI,63.9167,24.9667,61.68,91,100,6.08,moderate rain
322,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,76,30,5.53,scattered clouds
323,Sarahan,IN,31.5167,77.8,62.26,90,29,0.78,scattered clouds
324,Pietarsaari,FI,63.65,22.6833,64.89,85,100,10.04,overcast clouds
325,Coquimbo,CL,-29.9533,-71.3436,55.13,71,40,3.44,scattered clouds
326,Lompoc,US,34.6391,-120.4579,61.11,98,90,3.44,mist
327,Homer,US,59.6425,-151.5483,51.8,88,90,0.0,overcast clouds
328,Te Anau,NZ,-45.4167,167.7167,41.88,98,100,6.08,overcast clouds
329,Belgaum,IN,15.8667,74.5,68.58,91,77,8.9,broken clouds
330,Stokmarknes,NO,68.5646,14.9108,58.5,73,42,11.68,scattered clouds
331,Lakhipur,IN,26.0299,90.3041,78.57,90,99,2.73,overcast clouds
332,Tifton,US,31.4505,-83.5085,85.96,74,1,0.0,clear sky
333,Vila Velha,BR,-20.3297,-40.2925,82.35,51,20,8.05,few clouds
334,Fairbanks,US,64.8378,-147.7164,48.54,91,90,0.0,overcast clouds
335,San Angelo,US,31.4638,-100.437,85.53,63,20,1.01,few clouds
336,Maceio,BR,-9.6658,-35.7353,78.24,78,75,10.36,broken clouds
337,Lukovetskiy,RU,64.2956,41.9211,66.18,71,85,6.69,overcast clouds
338,Ferrol,ES,43.4832,-8.2369,74.23,87,2,10.47,clear sky
339,Guerrero Negro,MX,27.9769,-114.0611,76.05,73,30,12.03,scattered clouds
340,Sucua,EC,-2.4667,-78.1667,72.34,43,75,2.3,light rain
341,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.06,64,100,4.56,overcast clouds
342,Tecpan,GT,14.7623,-90.9947,63.36,63,78,4.09,broken clouds
343,Griffith,US,41.5284,-87.4237,77.99,52,1,1.99,clear sky
344,Pangkalanbuun,ID,-2.6833,111.6167,75.02,97,100,2.21,overcast clouds
345,Cheney,US,47.4874,-117.5758,69.82,42,90,3.44,smoke
346,Port Shepstone,ZA,-30.7414,30.455,58.15,80,100,9.91,overcast clouds
347,Koumac,NC,-20.5667,164.2833,64.56,72,39,7.45,scattered clouds
