City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Ternate,ID,80.15,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
441,Marienburg,PL,76.95,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
444,Camocim,BR,90.63,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
449,Ahome,MX,86.09,few clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
453,Shakawe,BW,86.47,broken clouds,-18.3667,21.85,Ditlhapi Guest House
454,Babu,CN,78.04,light rain,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
457,Basqal,AZ,82.92,clear sky,40.7552,48.391,Ermek Ailevi Istirahet Mekani
460,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
464,Abeche,TD,84.6,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
467,Palmer,US,84.51,broken clouds,42.1584,-72.3287,Wedgewood Motel
472,Cleveland,US,78.71,few clouds,41.4995,-81.6954,Renaissance Cleveland Hotel
473,Sopelana,ES,91.29,broken clouds,43.3789,-2.9831,Hotel Modus Vivendi
475,Virginia Beach,US,91.02,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
478,Fereydun Kenar,IR,88.11,broken clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
479,Winchester,GB,76.64,few clouds,51.0651,-1.3187,"The Wykeham Arms, Winchester"
480,Santo Antonio Do Ica,BR,78.06,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
482,Morondava,MG,76.05,clear sky,-20.2833,44.2833,La Case Bambou
483,Oussouye,SN,85.32,overcast clouds,12.485,-16.5469,Auberge du Routard
487,Inongo,CD,77.14,light rain,-1.95,18.2667,Hotel Du Lac
488,Santa Marta,CO,84.34,scattered clouds,11.2408,-74.199,Casa de Isabella
490,Carolina,PR,91.09,haze,18.3808,-65.9574,Motel Fantasy Star
491,Repatriacion,PY,75.25,scattered clouds,-25.5333,-55.95,CABAÑA BLANCA AURORA PADEL CLUB
492,Shimoda,JP,80.71,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
495,Toamasina,MG,75.2,light rain,-18.1667,49.3833,Hotel H1
498,Sulangan,PH,82.87,scattered clouds,11.1373,123.7228,Maia's Beach Resort
504,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
506,Lasa,IT,88.02,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
507,Fare,PF,78.01,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
508,Fukue,JP,78.21,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
509,Khash,IR,87.8,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
510,Brunico,IT,88.39,scattered clouds,46.7958,11.9364,Hotel Post
511,Langarud,IR,86.05,clear sky,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
514,Sola,VU,77.31,broken clouds,-13.8833,167.55,Leumerus Bungalows
518,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
525,Ouesso,CG,84.6,overcast clouds,1.6136,16.0517,ABENIE Hotel
529,Starkville,US,85.51,broken clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
530,Mulege,MX,86.43,few clouds,26.8833,-111.9833,Casa Granada
532,Hami,CN,93.29,broken clouds,42.8,93.45,Laoyutang Resort
533,Sosua,DO,89.53,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
538,Kieta,PG,79.03,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
540,Torquay,GB,75.06,few clouds,50.4638,-3.5143,The Grand Hotel
545,Soyo,AO,76.51,broken clouds,-6.1349,12.3689,Hotel Mpampa
548,Sumbe,AO,75.24,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
555,Gweta,BW,81.68,broken clouds,-20.1833,25.2333,Gweta Lodge
556,Porto Seguro,BR,77.52,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
562,Bandarbeyla,SO,77.43,broken clouds,9.4942,50.8122,JABIR HOTEL
563,Caucaia,BR,87.75,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
564,Mtwara,TZ,80.31,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
566,Mwinilunga,ZM,84.34,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
570,Sur,OM,89.29,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
571,Oliva,ES,90.72,clear sky,38.9197,-0.1194,Hotel Azahar
575,Itupiranga,BR,89.92,clear sky,-5.1347,-49.3267,Hotel Panorama
579,Yorosso,ML,78.66,light rain,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
582,Sapele,NG,82.27,light rain,5.8941,5.6767,Movig Hotel & Suites
583,Tukrah,LY,84.79,clear sky,32.5341,20.5791,Lokta restaurant
586,Bucerias,MX,82.98,broken clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
587,Bonavista,CA,80.6,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
588,Pimenteiras,BR,93.07,few clouds,-6.2453,-41.4192,Hotel rotativo pimentas
590,Mayo,US,88.74,clear sky,38.8876,-76.5119,Resorts Resource Group International
591,Anuppur,IN,77.95,overcast clouds,23.1,81.6833,PWD vishramgruh GUEST HOUSE
592,Wageningen,NL,77.25,broken clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
594,Iracoubo,GF,84.06,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
595,Mangrol,IN,80.76,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
596,Nileshwar,IN,78.48,overcast clouds,12.25,75.1,Neeleshwar Hermitage
597,West Wendover,US,79.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
598,Hirara,JP,82.54,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
601,Darnah,LY,82.2,clear sky,32.767,22.6367,فندق الفردوس
602,Sao Jose Da Coroa Grande,BR,78.17,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
603,Gat,IL,90.39,clear sky,31.61,34.7642,OlusHome
607,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
608,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
613,Padang,ID,77.65,light rain,-0.9492,100.3543,Mercure Padang
614,Durgapur,IN,86.13,overcast clouds,23.4833,87.3167,OYO 23635 Sher E Bengal
615,Shahrud,IR,81.1,few clouds,36.4182,54.9763,Royal Hotel
620,Tabou,CI,80.06,broken clouds,4.423,-7.3528,hotêl doufoulougou
622,Alugan,PH,79.38,overcast clouds,12.2188,125.4808,JM Lodge
624,Torrington,US,82.13,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
625,Diamantino,BR,89.47,scattered clouds,-14.4086,-56.4461,Hotel Delta
630,Cianjur,ID,75.47,few clouds,-6.8224,107.1393,The Jhon's Aquatic Park & Resort
632,Hobyo,SO,78.49,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
633,Bull Savanna,JM,83.8,scattered clouds,17.8868,-77.5902,Big Red's
636,Kupang,ID,76.98,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
639,Rudsar,IR,86.05,clear sky,37.1376,50.288,Hotel Bahar
640,Turka,UA,78.26,few clouds,49.1541,23.0297,Мотель
642,Lang Suan,TH,79.52,overcast clouds,9.9456,99.0785,Langsuan Resort
644,Manavalakurichi,IN,82.49,overcast clouds,8.1333,77.3,Udaya Boys Hostel
648,Camacha,PT,75.96,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
650,Idlib,SY,87.19,clear sky,35.9306,36.6339,مركز تسيل للتجميل
652,Dwarka,IN,80.64,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
656,Manzanillo,CU,85.21,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
663,Isla Mujeres,MX,86.05,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
664,Vaitape,PF,77.92,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
667,Baft,IR,85.17,broken clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
669,Itarema,BR,89.42,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
671,Xiashi,CN,75.22,overcast clouds,30.5363,120.6864,皮都锦江大酒店
